pop1,pop2
1997.883816538001,2011.2775573404624
1994.3879237009564,2021.0415127477481
2002.3303616623646,1986.476371110859
1987.6521681294596,1990.8087000578032
1977.1326273790055,1984.36752473659
1990.663409719418,1999.4383635136226
1973.5904963541907,2004.9818353891371
1985.7732862058986,1991.2228099117776
1998.8846920406445,2020.009067442038
1999.709857998329,1984.1992506272873
1988.067623909446,2014.369406613224
1987.0844244940834,1975.145242714356
2005.341561846394,1988.4861443447846
1983.7253212725104,2003.2789208226598
2010.1341158223877,1972.2663726326236
2013.2362178701437,1997.2167652641376
2001.786755490579,2022.5310546652397
2005.874871479864,2003.438389076621
2005.4136302383422,1980.9220252902855
2013.2405603386667,2004.209723403357
1995.9801027272774,1987.1838395777177
2001.754276166436,1992.2784319799482
2013.3906482474886,2008.3601544485944
1989.0730358143167,2013.0594861673994
2013.0454100004415,1996.9063407311696
2008.5695675352783,1977.2736636024244
2001.226501605893,2026.8450305514064
1997.3784102032619,1999.1043144442333
2007.1620121913784,1998.186825499252
1994.7022715707537,2038.70070240145
1990.7941807113239,1990.9448039315419
2005.3507573158636,2005.7305781418752
2011.3640555881436,2011.4286270120047
2004.503142847337,1980.587127665494
2005.8233989734815,1991.6986288967316
2004.4343000613303,2005.9235150475902
1980.6189240206731,2008.740757734849
1994.0634189315242,1950.6671360189773
1993.5913513435212,1985.1978351263206
1984.266132979641,2017.5545988379085
2020.9364635165646,1992.9673066284952
1992.0389650882069,1981.026160723391
2004.3862810373885,1979.1994129661011
2003.298706458475,2021.1929979095125
1948.0230325395796,1999.214136460883
2002.02146329975,2022.8345953280989
2002.0092903982268,1999.1026017082604
1994.319449570739,2000.6848191541746
1990.7169187157829,1994.7042246118087
2014.353877419079,1995.4195546712313
2020.1593830752868,2010.0887476794924
1980.2141291981168,2000.867381587949
2008.013133174122,1992.8001776716003
1983.1724654826214,2001.276014510941
2004.295849532706,1987.1308965023813
2025.381827827825,2003.6597371870214
2011.9305893493975,1986.8876069187002
2001.4089339557588,1996.8953223722067
1991.2535701403515,1985.9452374282043
1995.4131607745207,2017.5094487810006
2006.9850484256629,1983.1196507080824
1996.817708739624,2007.513873658414
1986.806709087982,2007.7869729993495
2002.4127031466458,1999.9410682910755
1995.6679249558547,2003.473128763087
2026.4397453294198,2003.8342026241571
2000.1873201790106,2001.5182302737496
1986.8262638768992,1983.973602289793
2000.6328414114946,2047.8492288193183
2006.1257570126513,1982.6344220022602
1996.014196111523,1994.977605065625
2011.0454860755067,2018.9938464519355
1991.6474520334264,1980.372933643609
1985.868805101913,2007.9334643378536
2005.222473532293,1988.9913541205894
1968.3162381702796,2019.1682737202016
1989.553502924783,1993.5120645873274
1999.2026062857078,2009.3232459798282
1994.457509990048,1991.33276302081
2012.409427873016,1978.1086761205572
2003.4269718253981,2005.9664705808125
1988.2558915391216,2001.7750401937317
2035.3532631509468,1995.5438385959983
2001.4298817951758,1990.6475078201324
2001.9508857176813,1994.344165995067
