AM1,AM2
48.18857918093782,54.91590808411196
46.094857286145015,44.232471166117755
46.90076876221278,44.23127238278043
41.84671635393366,52.59945757066969
45.66012908656269,44.55367161082749
47.49224090990784,49.9179047713292
46.20557285639835,57.81948160106694
46.764733958049774,40.87795689822666
44.464698413553265,46.90740338110841
45.70505758561814,57.5668578724904
43.71970607183649,41.17010442823333
48.97806042986515,43.02385489484148
44.917925279204375,51.823808496331
47.24801984549366,41.332779016391974
49.097120276121395,43.35402329756206
46.274000583783156,50.44858816392359
46.80193657632439,37.87546207271312
49.46905531451316,46.06636066680597
46.94894051299644,58.217135746254776
48.64451385829782,39.62116399382076
49.450766033169344,43.074821173189825
49.74738071137908,54.53462408055012
45.13633834169177,39.47256541667713
49.377314380244464,49.46029608847646
47.76042924717943,54.79954893917513
45.962318449270406,42.621006367163105
45.078122595840334,45.65295757469483
45.12856892680909,50.93790307197479
48.052262951979245,41.779607935372184
47.33777408186334,43.91789942085649
47.0860116401115,52.558512180374485
40.77424401388642,38.88787460363376
45.96097353733991,50.585144988009986
48.27268310028265,51.102954840983514
42.55455698354584,44.78254305173499
46.7111800772018,48.33956533526078
45.60748884379496,54.69446099841328
50.77373785946045,41.5464113105592
48.54072443960053,48.83926202130854
48.739861363702616,57.23136452472355
47.71184185745781,42.540286463358655
49.810333941054225,43.74546152091281
44.63536582741978,54.90692613352812
44.918633420168995,41.00557105442384
45.471084083947844,47.5893530306808
45.30199032877558,53.26173353683372
43.895986857443596,46.55478460620016
46.212649441660716,47.867606652003516
44.20163312616502,59.4725667857676
47.81241338510152,39.101963273376064
46.8769336999294,48.96207186562705
44.48888068412464,54.612838506018306
43.124637520665644,40.839919373830355
44.72798996430617,42.788740065252924
46.416297696604225,51.054610080494555
43.26121848614385,38.02406681341399
47.010447363990615,49.584402488912644
49.29741489886101,52.38004007646591
44.272683472386724,40.539640786814836
51.20055557695754,47.41694803703844
42.45061435622818,46.76226987194747
43.226757857903145,40.6986259522896
47.50240566721744,48.640872579719534
41.9380211451712,54.888248713086476
45.23768652507543,38.598240495135315
46.13790731487336,47.28979554489376
49.66537599545072,50.03922435190466
51.3554972309523,45.161940512273425
46.24008802249489,47.20800257667622
43.51514326384901,55.324223880223585
46.95883525663667,40.71617576824914
47.655062011345954,43.561781535555745
45.48800753151726,55.619721439469444
46.90391779810359,44.66000768465528
47.510644619460734,48.66898473675466
43.37722703794205,58.65866477018657
43.69989821076659,40.76663412437844
45.20704981741659,42.8551038931782
47.47896480965045,54.18037718545723
49.01599992097937,42.022170834630494
41.6176570089068,48.42669720924311
44.86258328187304,53.92569577144204
43.21955513777408,42.57201019023737
46.83858340112836,43.89467350247222
46.46298045605262,55.98939861696375
47.9992518220889,39.79959228434683
45.338519291885504,44.946900751699104
43.10919240620142,53.03296592905651
47.70967104272566,41.81648118955338
49.22273165793305,45.245857877170415
46.61711398097938,51.625286721961054
44.43616935107498,39.636405664592594
48.22303630467411,43.77676543972683
43.69362378233756,57.26954808071008
45.12248386816397,42.61487789782138
50.83550357459808,43.1830337821066
46.50016913831941,56.39597841278455
48.11177902479137,41.38577466069608
45.00522435003551,46.26795504005625
44.32045296194261,59.38131943959193
